id,workflowId,name,description,parameterOverrides,exposedParameters,inputModes,parameterOrder
2,1746471738642-TestWorkflow.json,"Test 2","","{""3"":{""seed"":153},""5"":{""width"":512,""height"":512},""6"":{""text"":""beautiful scenery nature glass bottle landscape, , purple galaxy bottle,""},""9"":{""filename_prefix"":""ComfyUI""}}","{""3"":[""seed""],""5"":[],""6"":[""text""],""7"":[],""9"":[]}","{""6"":{""text"":""multi""}}","[""3.seed"",""6.text""]"
3,1746486629290-LoadImage.json,LoadImages,"","{""6"":{""text"":""beautiful scenery nature glass bottle landscape, , purple galaxy bottle,""},""10"":{""image"":""Session Vergleich 1.png""}}","{""6"":[""text""],""10"":[""image""]}","{""6"":{""text"":""multi""}}","[""6.text"",""10.image""]"
4,"1746513443210-Remote Workflow Session.json",RunTest,"","{""6"":{""text"":""beautiful scenery nature glass bottle landscape, , purple galaxy bottle,""}}","{""6"":[""text""]}","{""6"":{""text"":""multi""}}","[""6.text""]"
5,"1746516902394-AIris Produkt V1.1 (2).json","AIRIS V0.1","","{""31"":{""seed"":1112164791016796},""249"":{""Text"":""Summer""},""282"":{""image"":""Gradient_04c_RGB.jpg""},""283"":{""image"":""PS5_CFI2000_PR_01_sRGB (2).png""}}","{""31"":[""seed""],""249"":[""Text""],""282"":[""image""],""283"":[""image""]}","{""249"":{""Text"":""multi""}}","[""31.seed"",""249.Text"",""282.image"",""283.image""]"
6,"1746521360089-AIris Produkt V1.2.json",AIRIS-V0.2,"","{""31"":{""seed"":1088379099977217},""249"":{""Text"":""Winter""},""282"":{""image"":""Gradient_04c_RGB.jpg""},""283"":{""image"":""PS5_CFI2000_PR_01_sRGB (2).png""}}","{""31"":[""seed""],""249"":[""Text""],""282"":[""image""],""283"":[""image""]}",{},"[""31.seed"",""249.Text"",""282.image"",""283.image""]"
7,"1746522807228-AIris Produkt V1.2 (1).json",AIRIS-V0.3,"","{""31"":{""seed"":1003237936418273},""249"":{""Text"":""Winter""},""282"":{""image"":""Gradient_04c_RGB.jpg""},""283"":{""image"":""PS5_CFI2000_PR_01_sRGB (2).png""},""328"":{""value"":65},""348"":{""Number"":""2""}}","{""31"":[""seed""],""249"":[""Text""],""282"":[""image""],""283"":[""image""],""328"":[""value""],""348"":[""Number""]}",{},"[""31.seed"",""249.Text"",""283.image"",""348.Number"",""282.image"",""328.value""]"
